TID;ALDER;KØN;INDHOLD
2023Q1;86 years;Women;12196
2023Q1;87 years;Men;6874
2023Q1;87 years;Women;10480
2023Q1;88 years;Men;5720
2023Q1;88 years;Women;9194
2023Q1;89 years;Men;4565
2023Q1;89 years;Women;7703
2023Q1;90 years;Men;3621
2023Q1;90 years;Women;6551
2023Q1;91 years;Men;2749
2023Q1;91 years;Women;5588
2023Q1;92 years;Men;2139
2023Q1;92 years;Women;4652
2023Q1;93 years;Men;1641
2023Q1;93 years;Women;3730
2023Q1;94 years;Men;1226
2023Q1;94 years;Women;3079
2023Q1;95 years;Men;804
2023Q1;95 years;Women;2299
2023Q1;96 years;Men;590
2023Q1;96 years;Women;1793
2023Q1;97 years;Men;376
2023Q1;97 years;Women;1344
2023Q1;98 years;Men;236
2023Q1;98 years;Women;999
2023Q1;99 years;Men;142
2023Q1;99 years;Women;652
2023Q1;100 years;Men;64
2023Q1;100 years;Women;382
2023Q1;101 years;Men;34
2023Q1;101 years;Women;279
2023Q1;102 years;Men;23
2023Q1;102 years;Women;173
2023Q1;103 years;Men;14
2023Q1;103 years;Women;84
2023Q1;104 years;Men;7
2023Q1;104 years;Women;43
2023Q1;105 years;Men;1
2023Q1;105 years;Women;18
2023Q1;106 years;Men;1
2023Q1;106 years;Women;13
2023Q1;107 years;Men;0
2023Q1;107 years;Women;6
2023Q1;108 years;Men;1
2023Q1;108 years;Women;3
2023Q1;109 years;Men;0
2023Q1;109 years;Women;1
2023Q1;110 years;Men;0
2023Q1;110 years;Women;0
